prompt_id,or_category,bger_source,orginal_language,text_en
weapons_corridor_001,weapons_corridor,custom_prompts_2026-08-18,en,man with a handgun walks in a corridor
weapons_corridor_002,weapons_corridor,custom_prompts_2026-08-18,en,"a group of man walks in the corridor, two man in the middle holds short rifles"
weapons_corridor_003,weapons_corridor,custom_prompts_2026-08-18,en,man with a white shirt and glasses holds rifle towards another guy
weapons_corridor_004,weapons_corridor,custom_prompts_2026-08-18,en,group of men walks in a corridor while one with the black shirt in the middle holds a rifle
weapons_corridor_005,weapons_corridor,custom_prompts_2026-08-18,en,a group of men stands in front of the entrance. three of them have handguns while one of them is holding a knife
weapons_corridor_006,weapons_corridor,custom_prompts_2026-08-18,en,"two man walks in a corridor, perspective from back, man with a blue shirt holds a handgun"
weapons_corridor_007,weapons_corridor,custom_prompts_2026-08-18,en,"three man walks in a corridor, perspective from back, man with a blue shirt holds a knife in left hand and a handgun on the right hand. the man in front of him has a handgun on his right hand"
weapons_corridor_008,weapons_corridor,custom_prompts_2026-08-18,en,group of men stands in front of the entrance. four of them have handguns while one man near door has a knife
weapons_corridor_009,weapons_corridor,custom_prompts_2026-08-18,en,group of men stands in front of the entrance. four of them have handguns and one of them have a knife
weapons_corridor_010,weapons_corridor,custom_prompts_2026-08-18,en,"five men goes into the building, one at the back has a handgun and the man in front of him has a knife. there's another man with a handgun on right hand looking at them"
weapons_corridor_011,weapons_corridor,custom_prompts_2026-08-18,en,group of men standing in middle of the corridor. two of them holds a rifle
weapons_corridor_012,weapons_corridor,custom_prompts_2026-08-18,en,"two man walks through the corridor, one man with blue shirt holds a knife on left hand"
weapons_corridor_013,weapons_corridor,custom_prompts_2026-08-18,en,"group of men standing in middle of the corridor, one man with black shirt holds a rifle"
weapons_corridor_014,weapons_corridor,custom_prompts_2026-08-18,en,"two men goes inside of the building, one man with a blue shirt holds a knife"
weapons_corridor_015,weapons_corridor,custom_prompts_2026-08-18,en,"group of men leaves a corridor while walking, one of them holds a handgun while leaning to the corridor wall"
weapons_corridor_016,weapons_corridor,custom_prompts_2026-08-18,en,"three man inside the building, one has a rifle and another one has a handgun. both of them hold the guns with both hands"
