model,lang,prefix,n_pairs,dropped_baseline_only,dropped_prefix_only,b_refused_prefix_not_baseline,c_refused_baseline_not_prefix,odds_ratio_b_over_c,p_value_mcnemar_exact,baseline_refusal_rate,baseline_refused_n,prefix_refusal_rate,prefix_refused_n
gemma4:e4b,de,supreme,1652,0,0,1,2,0.5,0.875,0.0018159806295399517,3,0.0012106537530266344,2
gemma4:e4b,en,supreme,1652,0,0,1,8,0.125,0.998046875,0.005447941888619854,9,0.0012106537530266344,2
gemma4:e4b,fr,supreme,1652,0,0,2,7,0.2857142857142857,0.98046875,0.00423728813559322,7,0.0012106537530266344,2
hf.co/bartowski/swiss-ai_Apertus-8B-Instruct-2509-GGUF:Q4_K_M,de,supreme,1652,0,0,35,10,3.5,0.00012354389230040397,0.009685230024213076,16,0.024818401937046004,41
hf.co/bartowski/swiss-ai_Apertus-8B-Instruct-2509-GGUF:Q4_K_M,en,supreme,1652,0,0,59,17,3.4705882352941178,6.984359056570014e-07,0.013922518159806295,23,0.03934624697336562,65
hf.co/bartowski/swiss-ai_Apertus-8B-Instruct-2509-GGUF:Q4_K_M,fr,supreme,1652,0,0,313,12,26.083333333333332,3.5902490254880095e-77,0.010895883777239709,18,0.19309927360774817,319
hf.co/bartowski/swiss-ai_Apertus-8B-Instruct-2509-GGUF:Q4_K_M,it,supreme,1651,0,1,34,81,0.41975308641975306,0.9999972142883957,0.05330102967898243,88,0.02483343428225318,41
llama3.1:8b,de,supreme,1652,0,0,161,113,1.424778761061947,0.0022168359815242034,0.2560532687651332,423,0.2851089588377724,471
llama3.1:8b,en,supreme,1652,0,0,829,0,inf,2.7934029957198183e-250,0.18765133171912832,310,0.6894673123486683,1139
llama3.1:8b,fr,supreme,1652,0,0,195,15,13.0,2.0536821851001421e-41,0.12530266343825666,207,0.23426150121065376,387
llama3.1:8b,it,supreme,1652,0,0,400,0,inf,3.8725919148493183e-121,0.21973365617433413,363,0.461864406779661,763
qwen3:8b,de,supreme,1649,2,1,5,0,inf,0.03125,0.0006064281382656155,1,0.0036385688295936932,6
qwen3:8b,en,supreme,1651,1,0,3,3,1.0,0.65625,0.0024227740763173833,4,0.0024227740763173833,4
qwen3:8b,fr,supreme,1651,1,0,1,0,inf,0.5,0.0,0,0.0006056935190793458,1
