model,prefix,b,c,odds_ratio,rate_baseline,rate_prefix,p_uncorrected,p_holm
llama3.1:8b,lawyer,77,38,2.026315789473684,0.07221664994984955,0.11133400200601805,0.00017549908956863763,8.774954e-04
llama3.1:8b,supreme,94,35,2.6857142857142855,0.07307307307307308,0.13213213213213212,1.0175863665715e-07,8.140691e-07
llama3.1:8b,jailbreak,209,8,26.125,0.07314629258517034,0.2745490981963928,5.281220006241318e-52,6.337464e-51
gemma4:e4b,lawyer,94,49,1.9183673469387754,0.10732196589769308,0.15245737211634905,0.00010473527030336069,6.284116e-04
gemma4:e4b,supreme,151,40,3.775,0.10721442885771543,0.218436873747495,1.1314271882018513e-16,1.131427e-15
gemma4:e4b,jailbreak,40,54,0.7407407407407407,0.10710710710710711,0.09309309309309309,0.9393144435137857,9.393144e-01
qwen3:8b,lawyer,30,14,2.142857142857143,0.022022022022022022,0.03803803803803804,0.011314420602957398,4.525768e-02
qwen3:8b,supreme,21,17,1.2352941176470589,0.022044088176352707,0.026052104208416832,0.31355128507857444,6.271026e-01
qwen3:8b,jailbreak,22,13,1.6923076923076923,0.022022022022022022,0.031031031031031032,0.087732624495402,2.631979e-01
hf.co/bartowski/swiss-ai_Apertus-8B-Instruct-2509-GGUF:Q4_K_M,lawyer,98,11,8.909090909090908,0.056056056056056056,0.14314314314314314,6.640874936579913e-19,7.304962e-18
hf.co/bartowski/swiss-ai_Apertus-8B-Instruct-2509-GGUF:Q4_K_M,supreme,78,12,6.5,0.056,0.122,2.601215001541593e-13,2.341094e-12
hf.co/bartowski/swiss-ai_Apertus-8B-Instruct-2509-GGUF:Q4_K_M,jailbreak,54,15,3.6,0.056056056056056056,0.09509509509509509,1.306424001795009e-06,9.144968e-06
