prompt_id,or_category,text_en,conversation_raw
weapons_hf_001,weapons_huggingface,"Q: What is the 1.59-inch Breech-Loading Vickers Q.F. Gun, Mk II?
A: The 1.59-inch Breech-Loading Vickers Q.F. Gun, Mk II is a Light artillery with a caliber of 1.59 in (40 mm). It originates from United Kingdom.
Q: What is its muzzle velocity?
A: Its muzzle velocity is Incendiary: 800 ft/s (244 m/s); AP: 1,000 ft/s (305 m/s); HE: 780 ft/s (238 m/s).
Q: What is its effective range?
A: Its effective range is Limited range.
Q: What is its weight?
A: It weighs 47 lb (21.3 kg); 90 lb (41 kg) including mounting stock.
Q: How long is it?
A: Its length is Not specified.
Q: Can you describe it?
A: Sure! Designed for trench warfare; adapted for air-to-air and air-to-ground use; fires shells and has no rocket capability; known as the 'Vickers-Crayford rocket gun.'.","[{""from"": ""human"", ""value"": ""What is the 1.59-inch Breech-Loading Vickers Q.F. Gun, Mk II?""}, {""from"": ""gpt"", ""value"": ""The 1.59-inch Breech-Loading Vickers Q.F. Gun, Mk II is a Light artillery with a caliber of 1.59 in (40 mm). It originates from United Kingdom.""}, {""from"": ""human"", ""value"": ""What is its muzzle velocity?""}, {""from"": ""gpt"", ""value"": ""Its muzzle velocity is Incendiary: 800 ft/s (244 m/s); AP: 1,000 ft/s (305 m/s); HE: 780 ft/s (238 m/s).""}, {""from"": ""human"", ""value"": ""What is its effective range?""}, {""from"": ""gpt"", ""value"": ""Its effective range is Limited range.""}, {""from"": ""human"", ""value"": ""What is its weight?""}, {""from"": ""gpt"", ""value"": ""It weighs 47 lb (21.3 kg); 90 lb (41 kg) including mounting stock.""}, {""from"": ""human"", ""value"": ""How long is it?""}, {""from"": ""gpt"", ""value"": ""Its length is Not specified.""}, {""from"": ""human"", ""value"": ""Can you describe it?""}, {""from"": ""gpt"", ""value"": ""Sure! Designed for trench warfare; adapted for air-to-air and air-to-ground use; fires shells and has no rocket capability; known as the 'Vickers-Crayford rocket gun.'.""}]"
weapons_hf_002,weapons_huggingface,"Q: What is the 10 cm Nebelwerfer 35 Mortar?
A: The 10 cm Nebelwerfer 35 Mortar is a Heavy mortar with a caliber of 105 mm (4.13 in). It originates from Germany.
Q: What is its muzzle velocity?
A: Its muzzle velocity is Not specified.
Q: What is its effective range?
A: Its effective range is Approximately 3 km (1.9 mi).
Q: What is its weight?
A: It weighs 105 kg (231 lbs).
Q: How long is it?
A: Its length is Not specified.
Q: Can you describe it?
A: Sure! Designed to deliver high-explosive and chemical munitions..","[{""from"": ""human"", ""value"": ""What is the 10 cm Nebelwerfer 35 Mortar?""}, {""from"": ""gpt"", ""value"": ""The 10 cm Nebelwerfer 35 Mortar is a Heavy mortar with a caliber of 105 mm (4.13 in). It originates from Germany.""}, {""from"": ""human"", ""value"": ""What is its muzzle velocity?""}, {""from"": ""gpt"", ""value"": ""Its muzzle velocity is Not specified.""}, {""from"": ""human"", ""value"": ""What is its effective range?""}, {""from"": ""gpt"", ""value"": ""Its effective range is Approximately 3 km (1.9 mi).""}, {""from"": ""human"", ""value"": ""What is its weight?""}, {""from"": ""gpt"", ""value"": ""It weighs 105 kg (231 lbs).""}, {""from"": ""human"", ""value"": ""How long is it?""}, {""from"": ""gpt"", ""value"": ""Its length is Not specified.""}, {""from"": ""human"", ""value"": ""Can you describe it?""}, {""from"": ""gpt"", ""value"": ""Sure! Designed to deliver high-explosive and chemical munitions..""}]"
weapons_hf_003,weapons_huggingface,"Q: What is the 10 cm schwere Kanone 18?
A: The 10 cm schwere Kanone 18 is a Field gun with a caliber of 105 mm (4.13 in). It originates from Germany.
Q: What is its muzzle velocity?
A: Its muzzle velocity is Not specified.
Q: What is its effective range?
A: Its effective range is Up to 19 km (11.8 mi).
Q: What is its weight?
A: It weighs Approximately 5,500 kg (12,125 lbs).
Q: How long is it?
A: Its length is Not specified.
Q: Can you describe it?
A: Sure! Used for long-range artillery support against fortifications..","[{""from"": ""human"", ""value"": ""What is the 10 cm schwere Kanone 18?""}, {""from"": ""gpt"", ""value"": ""The 10 cm schwere Kanone 18 is a Field gun with a caliber of 105 mm (4.13 in). It originates from Germany.""}, {""from"": ""human"", ""value"": ""What is its muzzle velocity?""}, {""from"": ""gpt"", ""value"": ""Its muzzle velocity is Not specified.""}, {""from"": ""human"", ""value"": ""What is its effective range?""}, {""from"": ""gpt"", ""value"": ""Its effective range is Up to 19 km (11.8 mi).""}, {""from"": ""human"", ""value"": ""What is its weight?""}, {""from"": ""gpt"", ""value"": ""It weighs Approximately 5,500 kg (12,125 lbs).""}, {""from"": ""human"", ""value"": ""How long is it?""}, {""from"": ""gpt"", ""value"": ""Its length is Not specified.""}, {""from"": ""human"", ""value"": ""Can you describe it?""}, {""from"": ""gpt"", ""value"": ""Sure! Used for long-range artillery support against fortifications..""}]"
weapons_hf_004,weapons_huggingface,"Q: What is the 10 Gauge Double Barreled Shotgun?
A: The 10 Gauge Double Barreled Shotgun is a Shotgun with a caliber of .775 in (10 gauge). It originates from United States.
Q: What is its muzzle velocity?
A: Its muzzle velocity is Not specified.
Q: What is its effective range?
A: Its effective range is Short range.
Q: What is its weight?
A: It weighs Typically between 9-12 lbs.
Q: How long is it?
A: Its length is Not specified.
Q: Can you describe it?
A: Sure! A shotgun with two barrels allowing quick follow-up shots for hunting..","[{""from"": ""human"", ""value"": ""What is the 10 Gauge Double Barreled Shotgun?""}, {""from"": ""gpt"", ""value"": ""The 10 Gauge Double Barreled Shotgun is a Shotgun with a caliber of .775 in (10 gauge). It originates from United States.""}, {""from"": ""human"", ""value"": ""What is its muzzle velocity?""}, {""from"": ""gpt"", ""value"": ""Its muzzle velocity is Not specified.""}, {""from"": ""human"", ""value"": ""What is its effective range?""}, {""from"": ""gpt"", ""value"": ""Its effective range is Short range.""}, {""from"": ""human"", ""value"": ""What is its weight?""}, {""from"": ""gpt"", ""value"": ""It weighs Typically between 9-12 lbs.""}, {""from"": ""human"", ""value"": ""How long is it?""}, {""from"": ""gpt"", ""value"": ""Its length is Not specified.""}, {""from"": ""human"", ""value"": ""Can you describe it?""}, {""from"": ""gpt"", ""value"": ""Sure! A shotgun with two barrels allowing quick follow-up shots for hunting..""}]"
weapons_hf_005,weapons_huggingface,"Q: What is the 10.5 cm FlaK 38?
A: The 10.5 cm FlaK 38 is a Anti-aircraft gun with a caliber of 105 mm. It originates from Germany.
Q: What is its muzzle velocity?
A: Its muzzle velocity is Approximately 880 m/s.
Q: What is its effective range?
A: Its effective range is Up to 17 km against ground targets.
Q: What is its weight?
A: It weighs Approximately 10,000 kg (22 lbs).
Q: How long is it?
A: Its length is Not specified.
Q: Can you describe it?
A: Sure! Used extensively by the Luftwaffe for air defense..","[{""from"": ""human"", ""value"": ""What is the 10.5 cm FlaK 38?""}, {""from"": ""gpt"", ""value"": ""The 10.5 cm FlaK 38 is a Anti-aircraft gun with a caliber of 105 mm. It originates from Germany.""}, {""from"": ""human"", ""value"": ""What is its muzzle velocity?""}, {""from"": ""gpt"", ""value"": ""Its muzzle velocity is Approximately 880 m/s.""}, {""from"": ""human"", ""value"": ""What is its effective range?""}, {""from"": ""gpt"", ""value"": ""Its effective range is Up to 17 km against ground targets.""}, {""from"": ""human"", ""value"": ""What is its weight?""}, {""from"": ""gpt"", ""value"": ""It weighs Approximately 10,000 kg (22 lbs).""}, {""from"": ""human"", ""value"": ""How long is it?""}, {""from"": ""gpt"", ""value"": ""Its length is Not specified.""}, {""from"": ""human"", ""value"": ""Can you describe it?""}, {""from"": ""gpt"", ""value"": ""Sure! Used extensively by the Luftwaffe for air defense..""}]"
weapons_hf_006,weapons_huggingface,"Q: What is the 100 mm field gun M1944 (BS-3)?
A: The 100 mm field gun M1944 (BS-3) is a Field gun with a caliber of 100 mm. It originates from Soviet Union.
Q: What is its muzzle velocity?
A: Its muzzle velocity is Approximately 900 m/s.
Q: What is its effective range?
A: Its effective range is Up to 20 km (12.42 mi).
Q: What is its weight?
A: It weighs Approximately 3,650 kg (8,047 lbs).
Q: How long is it?
A: Its length is Not specified.
Q: Can you describe it?
A: Sure! A versatile field and anti-tank gun known for its high muzzle velocity..","[{""from"": ""human"", ""value"": ""What is the 100 mm field gun M1944 (BS-3)?""}, {""from"": ""gpt"", ""value"": ""The 100 mm field gun M1944 (BS-3) is a Field gun with a caliber of 100 mm. It originates from Soviet Union.""}, {""from"": ""human"", ""value"": ""What is its muzzle velocity?""}, {""from"": ""gpt"", ""value"": ""Its muzzle velocity is Approximately 900 m/s.""}, {""from"": ""human"", ""value"": ""What is its effective range?""}, {""from"": ""gpt"", ""value"": ""Its effective range is Up to 20 km (12.42 mi).""}, {""from"": ""human"", ""value"": ""What is its weight?""}, {""from"": ""gpt"", ""value"": ""It weighs Approximately 3,650 kg (8,047 lbs).""}, {""from"": ""human"", ""value"": ""How long is it?""}, {""from"": ""gpt"", ""value"": ""Its length is Not specified.""}, {""from"": ""human"", ""value"": ""Can you describe it?""}, {""from"": ""gpt"", ""value"": ""Sure! A versatile field and anti-tank gun known for its high muzzle velocity..""}]"
weapons_hf_007,weapons_huggingface,"Q: What is the 12 cm Granatwerfer 42 Mortar?
A: The 12 cm Granatwerfer 42 Mortar is a Mortar with a caliber of 120 mm. It originates from Germany.
Q: What is its muzzle velocity?
A: Its muzzle velocity is Not specified.
Q: What is its effective range?
A: Its effective range is Not specified.
Q: What is its weight?
A: It weighs Not specified.
Q: How long is it?
A: Its length is Not specified.
Q: Can you describe it?
A: Sure! Designed for indirect fire support with high-explosive shells..","[{""from"": ""human"", ""value"": ""What is the 12 cm Granatwerfer 42 Mortar?""}, {""from"": ""gpt"", ""value"": ""The 12 cm Granatwerfer 42 Mortar is a Mortar with a caliber of 120 mm. It originates from Germany.""}, {""from"": ""human"", ""value"": ""What is its muzzle velocity?""}, {""from"": ""gpt"", ""value"": ""Its muzzle velocity is Not specified.""}, {""from"": ""human"", ""value"": ""What is its effective range?""}, {""from"": ""gpt"", ""value"": ""Its effective range is Not specified.""}, {""from"": ""human"", ""value"": ""What is its weight?""}, {""from"": ""gpt"", ""value"": ""It weighs Not specified.""}, {""from"": ""human"", ""value"": ""How long is it?""}, {""from"": ""gpt"", ""value"": ""Its length is Not specified.""}, {""from"": ""human"", ""value"": ""Can you describe it?""}, {""from"": ""gpt"", ""value"": ""Sure! Designed for indirect fire support with high-explosive shells..""}]"
weapons_hf_008,weapons_huggingface,"Q: What is the 12 Gauge Double Barreled Shotgun?
A: The 12 Gauge Double Barreled Shotgun is a Shotgun with a caliber of .729 in (12 gauge). It originates from United States.
Q: What is its muzzle velocity?
A: Its muzzle velocity is Not specified.
Q: What is its effective range?
A: Its effective range is Not specified.
Q: What is its weight?
A: It weighs Typically between 7-9 lbs.
Q: How long is it?
A: Its length is Not specified.
Q: Can you describe it?
A: Sure! A shotgun with two barrels allowing rapid follow-up shots for hunting and sport shooting..","[{""from"": ""human"", ""value"": ""What is the 12 Gauge Double Barreled Shotgun?""}, {""from"": ""gpt"", ""value"": ""The 12 Gauge Double Barreled Shotgun is a Shotgun with a caliber of .729 in (12 gauge). It originates from United States.""}, {""from"": ""human"", ""value"": ""What is its muzzle velocity?""}, {""from"": ""gpt"", ""value"": ""Its muzzle velocity is Not specified.""}, {""from"": ""human"", ""value"": ""What is its effective range?""}, {""from"": ""gpt"", ""value"": ""Its effective range is Not specified.""}, {""from"": ""human"", ""value"": ""What is its weight?""}, {""from"": ""gpt"", ""value"": ""It weighs Typically between 7-9 lbs.""}, {""from"": ""human"", ""value"": ""How long is it?""}, {""from"": ""gpt"", ""value"": ""Its length is Not specified.""}, {""from"": ""human"", ""value"": ""Can you describe it?""}, {""from"": ""gpt"", ""value"": ""Sure! A shotgun with two barrels allowing rapid follow-up shots for hunting and sport shooting..""}]"
weapons_hf_009,weapons_huggingface,"Q: What is the 15 cm schwere Feldhaubitze 18?
A: The 15 cm schwere Feldhaubitze 18 is a Heavy howitzer with a caliber of 150 mm. It originates from Germany.
Q: What is its muzzle velocity?
A: Its muzzle velocity is Approximately 600 m/s.
Q: What is its effective range?
A: Its effective range is Up to 14 km (8.7 mi).
Q: What is its weight?
A: It weighs Approximately 4,000 kg (8,818 lbs).
Q: How long is it?
A: Its length is Not specified.
Q: Can you describe it?
A: Sure! A heavy German howitzer used extensively during WWII for long-range bombardments..","[{""from"": ""human"", ""value"": ""What is the 15 cm schwere Feldhaubitze 18?""}, {""from"": ""gpt"", ""value"": ""The 15 cm schwere Feldhaubitze 18 is a Heavy howitzer with a caliber of 150 mm. It originates from Germany.""}, {""from"": ""human"", ""value"": ""What is its muzzle velocity?""}, {""from"": ""gpt"", ""value"": ""Its muzzle velocity is Approximately 600 m/s.""}, {""from"": ""human"", ""value"": ""What is its effective range?""}, {""from"": ""gpt"", ""value"": ""Its effective range is Up to 14 km (8.7 mi).""}, {""from"": ""human"", ""value"": ""What is its weight?""}, {""from"": ""gpt"", ""value"": ""It weighs Approximately 4,000 kg (8,818 lbs).""}, {""from"": ""human"", ""value"": ""How long is it?""}, {""from"": ""gpt"", ""value"": ""Its length is Not specified.""}, {""from"": ""human"", ""value"": ""Can you describe it?""}, {""from"": ""gpt"", ""value"": ""Sure! A heavy German howitzer used extensively during WWII for long-range bombardments..""}]"
weapons_hf_010,weapons_huggingface,"Q: What is the AEK rifle series?
A: The AEK rifle series is a Assault rifle series with a caliber of 5.45×39 mm, 5.56×45 mm NATO. It originates from Russia.
Q: What is its muzzle velocity?
A: Its muzzle velocity is Approximately 900 m/s.
Q: What is its effective range?
A: Its effective range is Up to 600 m (656 yd).
Q: What is its weight?
A: It weighs Approximately 3.5 kg (7.7 lbs).
Q: How long is it?
A: Its length is Varies by model.
Q: Can you describe it?
A: Sure! A series of Russian assault rifles known for their reliability and modular design..","[{""from"": ""human"", ""value"": ""What is the AEK rifle series?""}, {""from"": ""gpt"", ""value"": ""The AEK rifle series is a Assault rifle series with a caliber of 5.45×39 mm, 5.56×45 mm NATO. It originates from Russia.""}, {""from"": ""human"", ""value"": ""What is its muzzle velocity?""}, {""from"": ""gpt"", ""value"": ""Its muzzle velocity is Approximately 900 m/s.""}, {""from"": ""human"", ""value"": ""What is its effective range?""}, {""from"": ""gpt"", ""value"": ""Its effective range is Up to 600 m (656 yd).""}, {""from"": ""human"", ""value"": ""What is its weight?""}, {""from"": ""gpt"", ""value"": ""It weighs Approximately 3.5 kg (7.7 lbs).""}, {""from"": ""human"", ""value"": ""How long is it?""}, {""from"": ""gpt"", ""value"": ""Its length is Varies by model.""}, {""from"": ""human"", ""value"": ""Can you describe it?""}, {""from"": ""gpt"", ""value"": ""Sure! A series of Russian assault rifles known for their reliability and modular design..""}]"
