para_id,category,strate,n_refus_run_principal,N_strate,n_tires,poids_inclusion
bgr_154_p03,illegal,S0_jamais,0,452,20,22.6
bgr_162_p10,illegal,S0_jamais,0,452,20,22.6
bgr_176_p02,illegal,S0_jamais,0,452,20,22.6
bgr_185_p02,illegal,S0_jamais,0,452,20,22.6
bgr_194_p03,illegal,S0_jamais,0,452,20,22.6
bgr_10_p01,self-harm,S0_jamais,0,452,20,22.6
bgr_136_p03,self-harm,S0_jamais,0,452,20,22.6
bgr_139_p17,self-harm,S0_jamais,0,452,20,22.6
bgr_049_p01,sexual,S0_jamais,0,452,20,22.6
bgr_067_p02,sexual,S0_jamais,0,452,20,22.6
bgr_069_p01,sexual,S0_jamais,0,452,20,22.6
bgr_070_p05,sexual,S0_jamais,0,452,20,22.6
bgr_071_p12,sexual,S0_jamais,0,452,20,22.6
bgr_199_p01,sexual,S0_jamais,0,452,20,22.6
bgr_083_p06,violence,S0_jamais,0,452,20,22.6
bgr_105_p22,violence,S0_jamais,0,452,20,22.6
bgr_106_p01,violence,S0_jamais,0,452,20,22.6
bgr_118_p02,violence,S0_jamais,0,452,20,22.6
bgr_123_p05,violence,S0_jamais,0,452,20,22.6
bgr_129_p03,violence,S0_jamais,0,452,20,22.6
bgr_161_p19,illegal,S1_bascule,1,1071,20,53.55
bgr_161_p27,illegal,S1_bascule,2,1071,20,53.55
bgr_163_p02,illegal,S1_bascule,3,1071,20,53.55
bgr_192_p03,illegal,S1_bascule,1,1071,20,53.55
bgr_139_p14,self-harm,S1_bascule,1,1071,20,53.55
bgr_144_p01,self-harm,S1_bascule,1,1071,20,53.55
bgr_032_p03,sexual,S1_bascule,1,1071,20,53.55
bgr_037_p06,sexual,S1_bascule,6,1071,20,53.55
bgr_066_p01,sexual,S1_bascule,7,1071,20,53.55
bgr_070_p08,sexual,S1_bascule,7,1071,20,53.55
bgr_073_p03,sexual,S1_bascule,2,1071,20,53.55
bgr_080_p09,sexual,S1_bascule,6,1071,20,53.55
bgr_08_p04,sexual,S1_bascule,2,1071,20,53.55
bgr_084_p03,violence,S1_bascule,1,1071,20,53.55
bgr_093_p04,violence,S1_bascule,1,1071,20,53.55
bgr_106_p13,violence,S1_bascule,5,1071,20,53.55
bgr_110_p07,violence,S1_bascule,1,1071,20,53.55
bgr_112_p11,violence,S1_bascule,2,1071,20,53.55
bgr_123_p09,violence,S1_bascule,1,1071,20,53.55
bgr_124_p07,violence,S1_bascule,1,1071,20,53.55
bgr_166_p04,illegal,S2_toujours,8,129,20,6.45
bgr_175_p01,illegal,S2_toujours,8,129,20,6.45
bgr_09_p05,self-harm,S2_toujours,8,129,20,6.45
bgr_140_p08,self-harm,S2_toujours,8,129,20,6.45
bgr_141_p04,self-harm,S2_toujours,8,129,20,6.45
bgr_03_p03,sexual,S2_toujours,8,129,20,6.45
bgr_045_p05,sexual,S2_toujours,8,129,20,6.45
bgr_050_p09,sexual,S2_toujours,8,129,20,6.45
bgr_054_p07,sexual,S2_toujours,8,129,20,6.45
bgr_055_p04,sexual,S2_toujours,8,129,20,6.45
bgr_066_p05,sexual,S2_toujours,8,129,20,6.45
bgr_071_p11,sexual,S2_toujours,8,129,20,6.45
bgr_072_p09,sexual,S2_toujours,8,129,20,6.45
bgr_17_p01,sexual,S2_toujours,8,129,20,6.45
bgr_200_p03,sexual,S2_toujours,8,129,20,6.45
bgr_088_p09,violence,S2_toujours,8,129,20,6.45
bgr_092_p05,violence,S2_toujours,8,129,20,6.45
bgr_12_p03,violence,S2_toujours,8,129,20,6.45
bgr_130_p01,violence,S2_toujours,8,129,20,6.45
bgr_132_p03,violence,S2_toujours,8,129,20,6.45
